Dog/ (6).jpg,0
Dog/ (24).jpg,0
Marbles/ (12).jpg,1
Dog/ (42).jpg,0
Marbles/ (45).jpg,1
Dog/ (38).jpg,0
Marbles/ (40).jpg,1
Dog/ (18).jpg,0
Dog/ (8).jpg,0
Dog/ (25).jpg,0
Dog/ (5).jpg,0
Marbles/ (23).jpg,1
Marbles/ (29).jpg,1
Dog/ (4).jpg,0
Dog/ (7).jpg,0
Marbles/ (1).jpg,1
Marbles/ (14).jpg,1
Dog/ (50).jpg,0
Marbles/ (28).jpg,1
Dog/ (35).jpg,0
Marbles/ (34).jpg,1
Marbles/ (2).jpg,1
Marbles/ (43).jpg,1
Marbles/ (41).jpg,1
Dog/ (3).jpg,0
Dog/ (13).jpg,0
Dog/ (52).jpg,0
Dog/ (41).jpg,0
Marbles/ (21).jpg,1
Marbles/ (22).jpg,1
Dog/ (51).jpg,0
Marbles/ (7).jpg,1
Marbles/ (13).jpg,1
Dog/ (29).jpg,0
Marbles/ (4).jpg,1
Dog/ (14).jpg,0
Marbles/ (17).jpg,1
Marbles/ (38).jpg,1
Dog/ (23).jpg,0
Marbles/ (9).jpg,1
Marbles/ (30).jpg,1
Dog/ (36).jpg,0
Marbles/ (18).jpg,1
Dog/ (15).jpg,0
Dog/ (45).jpg,0
Dog/ (11).jpg,0
Dog/ (48).jpg,0
Dog/ (21).jpg,0
Marbles/ (20).jpg,1
Marbles/ (36).jpg,1
Dog/ (17).jpg,0
Marbles/ (44).jpg,1
Marbles/ (33).jpg,1
Dog/ (55).jpg,0
Dog/ (20).jpg,0
Marbles/ (26).jpg,1
Marbles/ (15).jpg,1
Marbles/ (35).jpg,1
Dog/ (39).jpg,0
Dog/ (1).jpg,0
Dog/ (2).jpg,0
Marbles/ (6).jpg,1
Marbles/ (8).jpg,1
Marbles/ (10).jpg,1
